[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> apiperformancemonitor/internal/api.(*Server).Routes.func1 (4 handlers)
[GIN-debug] POST   /urls                     --> apiperformancemonitor/internal/api.(*Server).addURL-fm (4 handlers)
[GIN-debug] GET    /urls                     --> apiperformancemonitor/internal/api.(*Server).listURLs-fm (4 handlers)
[GIN-debug] DELETE /urls/:id                 --> apiperformancemonitor/internal/api.(*Server).deleteURL-fm (4 handlers)
[GIN-debug] GET    /checks                   --> apiperformancemonitor/internal/api.(*Server).recentChecks-fm (4 handlers)
[GIN-debug] GET    /status                   --> apiperformancemonitor/internal/api.(*Server).latestStatus-fm (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2025/09/09 - 04:44:50 | 200 |    1.782042ms |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:45:00 | 200 |       1.565ms |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:45:10 | 200 |     391.833µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:45:10 | 200 |     595.708µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:45:20 | 200 |    1.036292ms |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:45:30 | 200 |     444.875µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:45:30 | 200 |      704.25µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:45:40 | 200 |    1.905958ms |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:45:50 | 200 |     622.542µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:45:50 | 200 |     912.167µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:46:00 | 200 |     756.166µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:46:10 | 200 |     355.959µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:46:10 | 200 |      502.25µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:46:20 | 200 |         562µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:46:30 | 200 |      416.25µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:46:30 | 200 |     860.792µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:46:40 | 200 |    1.167542ms |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:46:41 | 200 |     293.167µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:46:41 | 200 |     378.125µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:46:51 | 200 |     520.125µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:46:52 | 200 |     234.792µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:46:52 | 200 |     290.209µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:47:02 | 200 |     436.416µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:47:12 | 200 |     410.542µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:47:12 | 200 |     271.583µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:47:12 | 200 |     354.417µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:47:22 | 200 |     643.833µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:47:32 | 200 |     433.375µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:47:32 | 200 |     367.459µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:47:42 | 200 |    1.192541ms |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:47:52 | 200 |         345µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:47:52 | 200 |     496.583µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:48:47 | 200 |     496.666µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:48:47 | 200 |     190.625µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:48:48 | 200 |      932.25µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:48:48 | 200 |         280µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:48:48 | 200 |     393.167µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:48:49 | 200 |     345.959µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:48:49 | 200 |     393.292µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:48:58 | 200 |     634.792µs |             ::1 | GET      "/checks?url_id=2&limit=50"
